	go	ontology	name	genes	transcripts	proteins	total	total_CPM
106	GO:0003724	molecular_function	RNA helicase activity	197	219	122	219	801
107	GO:0004016	molecular_function	adenylate cyclase activity	196	246	170	246	899
108	GO:0032154	cellular_component	cleavage furrow	196	230	157	230	841
109	GO:0071364	biological_process	cellular response to epidermal growth factor stimulus	195	238	189	238	870
110	GO:0019538	biological_process	protein metabolic process	195	227	148	227	830
111	GO:0071004	cellular_component	U2-type prespliceosome	195	292	200	292	1068
112	GO:0031122	biological_process	cytoplasmic microtubule organization	193	214	133	214	782
113	GO:0051924	biological_process	regulation of calcium ion transport	193	230	190	230	841
114	GO:0005685	cellular_component	U1 snRNP	193	282	172	282	1031
115	GO:0071346	biological_process	cellular response to interferon-gamma	192	233	173	233	852
116	GO:0006171	biological_process	cAMP biosynthetic process	191	241	165	241	881
117	GO:0032357	molecular_function	oxidized purine DNA binding	135	173	84	173	633
118	GO:0008534	molecular_function	oxidized purine nucleobase lesion DNA N-glycosylase activity	135	172	87	172	629
119	GO:0045903	biological_process	positive regulation of translational fidelity	135	166	76	166	607
120	GO:0005854	cellular_component	nascent polypeptide-associated complex	134	154	92	154	563
121	GO:0009088	biological_process	threonine biosynthetic process	134	168	122	168	614
122	GO:0004675	molecular_function	transmembrane receptor protein serine/threonine kinase activity	134	137	55	137	501
123	GO:0010650	biological_process	positive regulation of cell communication by electrical coupling	133	149	119	149	545
124	GO:0034112	biological_process	positive regulation of homotypic cell-cell adhesion	133	149	119	149	545
125	GO:1900827	biological_process	positive regulation of membrane depolarization during cardiac muscle cell action potential	133	149	119	149	545
126	GO:0099612	biological_process	protein localization to axon	133	149	119	149	545
127	GO:0048208	biological_process	COPII vesicle coating	132	152	113	152	556
128	GO:0045504	molecular_function	dynein heavy chain binding	132	180	142	180	658
129	GO:0045444	biological_process	fat cell differentiation	132	164	120	164	600
130	GO:0010114	biological_process	response to red light	132	146	76	146	534
131	GO:0006465	biological_process	signal peptide processing	132	147	101	147	537
132	GO:0031150	biological_process	sorocarp stalk development	132	149	98	149	545
133	GO:0030331	molecular_function	estrogen receptor binding	131	138	105	138	505
134	GO:1900226	biological_process	negative regulation of NLRP3 inflammasome complex assembly	131	138	103	138	505
135	GO:0009142	biological_process	nucleoside triphosphate biosynthetic process	131	156	100	156	570
136	GO:0004620	molecular_function	phospholipase activity	131	151	113	151	552
137	GO:0005667	cellular_component	transcription factor complex	131	150	107	150	548
138	GO:0016471	cellular_component	vacuolar proton-transporting V-type ATPase complex	131	181	109	181	662
139	GO:0043010	biological_process	camera-type eye development	130	156	103	156	570
140	GO:0004450	molecular_function	isocitrate dehydrogenase (NADP+) activity	130	201	121	201	735
141	GO:0048767	biological_process	root hair elongation	130	153	106	153	559
142	GO:0030532	cellular_component	small nuclear ribonucleoprotein complex	130	170	101	170	622
143	GO:0045180	cellular_component	basal cortex	129	141	101	141	516
144	GO:0006542	biological_process	glutamine biosynthetic process	129	162	72	162	592
145	GO:0014823	biological_process	response to activity	129	148	95	148	541
146	GO:0008121	molecular_function	ubiquinol-cytochrome-c reductase activity	128	150	61	150	548
147	GO:0030276	molecular_function	clathrin binding	127	171	128	171	625
148	GO:0043268	biological_process	positive regulation of potassium ion transport	127	141	106	141	516
149	GO:0004557	molecular_function	alpha-galactosidase activity	126	146	108	146	534
150	GO:0002182	biological_process	cytoplasmic translational elongation	125	142	82	142	519
151	GO:0009922	molecular_function	fatty acid elongase activity	125	159	102	159	581
152	GO:0051592	biological_process	response to calcium ion	125	140	93	140	512
153	GO:0006086	biological_process	acetyl-CoA biosynthetic process from pyruvate	124	131	80	131	479
154	GO:0086014	biological_process	atrial cardiac muscle cell action potential	124	138	106	138	505
155	GO:0007035	biological_process	vacuolar acidification	124	157	85	157	574
156	GO:0006544	biological_process	glycine metabolic process	123	152	87	152	556
157	GO:0045747	biological_process	positive regulation of Notch signaling pathway	123	146	105	146	534
158	GO:0015165	molecular_function	pyrimidine nucleotide-sugar transmembrane transporter activity	123	155	125	155	567
159	GO:0006616	biological_process	SRP-dependent cotranslational protein targeting to membrane, translocation	123	157	82	157	574
160	GO:0006574	biological_process	valine catabolic process	123	139	80	139	508
161	GO:0030473	biological_process	nuclear migration along microtubule	122	135	79	135	494
162	GO:0010623	biological_process	programmed cell death involved in cell development	122	191	135	191	698
163	GO:0060964	biological_process	regulation of gene silencing by miRNA	122	140	105	140	512
164	GO:0010225	biological_process	response to UV-C	122	144	97	144	527
165	GO:0016117	biological_process	carotenoid biosynthetic process	121	138	79	138	505
166	GO:0006102	biological_process	isocitrate metabolic process	121	167	86	167	611
167	GO:0007131	biological_process	reciprocal meiotic recombination	121	140	98	140	512
168	GO:0035869	cellular_component	ciliary transition zone	120	134	101	134	490
169	GO:0051568	biological_process	histone H3-K4 methylation	120	141	99	141	516
170	GO:0030897	cellular_component	HOPS complex	120	130	91	130	475
171	GO:0033292	biological_process	T-tubule organization	120	134	100	134	490
172	GO:0030326	biological_process	embryonic limb morphogenesis	119	148	94	148	541
173	GO:0070972	biological_process	protein localization to endoplasmic reticulum	119	133	101	133	486
174	GO:0001501	biological_process	skeletal system development	119	143	107	143	523
175	GO:0043169	molecular_function	cation binding	118	151	118	151	552
176	GO:0009553	biological_process	embryo sac development	118	128	70	128	468
177	GO:0019897	cellular_component	extrinsic component of plasma membrane	118	134	99	134	490
178	GO:0035064	molecular_function	methylated histone binding	118	131	85	131	479
179	GO:0000275	cellular_component	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	118	138	66	138	505
180	GO:0051495	biological_process	positive regulation of cytoskeleton organization	118	133	94	133	486
181	GO:0051983	biological_process	regulation of chromosome segregation	118	146	108	146	534
182	GO:0000003	biological_process	reproduction	118	135	85	135	494
183	GO:0044830	biological_process	modulation by host of viral RNA genome replication	117	126	76	126	461
184	GO:0035267	cellular_component	NuA4 histone acetyltransferase complex	117	142	90	142	519
185	GO:0045252	cellular_component	oxoglutarate dehydrogenase complex	117	143	90	143	523
186	GO:0004775	molecular_function	succinate-CoA ligase (ADP-forming) activity	117	146	78	146	534
187	GO:0019427	biological_process	acetyl-CoA biosynthetic process from acetate	116	161	91	161	589
188	GO:0043009	biological_process	chordate embryonic development	116	140	88	140	512
189	GO:0012507	cellular_component	ER to Golgi transport vesicle membrane	116	134	99	134	490
190	GO:0019367	biological_process	fatty acid elongation, saturated fatty acid	116	150	98	150	548
191	GO:0000160	biological_process	phosphorelay signal transduction system	116	134	80	134	490
192	GO:0036309	biological_process	protein localization to M-band	116	129	96	129	472
193	GO:0050243	molecular_function	pyruvate dehydrogenase (NADP+) activity	116	197	113	197	720
194	GO:0098910	biological_process	regulation of atrial cardiac muscle cell action potential	116	129	96	129	472
195	GO:0098907	biological_process	regulation of SA node cell action potential	116	129	96	129	472
196	GO:0006878	biological_process	cellular copper ion homeostasis	115	138	96	138	505
197	GO:0034625	biological_process	fatty acid elongation, monounsaturated fatty acid	115	149	97	149	545
198	GO:0034626	biological_process	fatty acid elongation, polyunsaturated fatty acid	115	149	97	149	545
199	GO:0033619	biological_process	membrane protein proteolysis	115	134	88	134	490
200	GO:0006376	biological_process	mRNA splice site selection	115	148	115	148	541
201	GO:0007517	biological_process	muscle organ development	115	126	102	126	461
202	GO:1901018	biological_process	positive regulation of potassium ion transmembrane transporter activity	115	128	96	128	468
203	GO:0016984	molecular_function	ribulose-bisphosphate carboxylase activity	115	258	130	258	943
204	GO:0042351	biological_process	de novo GDP-L-fucose biosynthetic process	114	142	82	142	519
205	GO:0086066	biological_process	atrial cardiac muscle cell to AV node cell communication	114	127	95	127	464
206	GO:0006882	biological_process	cellular zinc ion homeostasis	114	132	96	132	483
207	GO:0046513	biological_process	ceramide biosynthetic process	114	149	109	149	545
208	GO:0031683	molecular_function	G-protein beta/gamma-subunit complex binding	114	130	66	130	475
209	GO:0005977	biological_process	glycogen metabolic process	114	140	90	140	512
210	GO:0072660	biological_process	maintenance of protein location in plasma membrane	114	126	101	126	461
211	GO:1901021	biological_process	positive regulation of calcium ion transmembrane transporter activity	114	127	95	127	464
212	GO:0036371	biological_process	protein localization to T-tubule	114	127	95	127	464
213	GO:1901019	biological_process	regulation of calcium ion transmembrane transporter activity	114	127	95	127	464
214	GO:0006110	biological_process	regulation of glycolytic process	114	135	104	135	494
215	GO:0086070	biological_process	SA node cell to atrial cardiac muscle cell communication	114	127	95	127	464
216	GO:0008375	molecular_function	acetylglucosaminyltransferase activity	113	119	74	119	435
217	GO:0004070	molecular_function	aspartate carbamoyltransferase activity	113	185	124	185	676
218	GO:0016441	biological_process	posttranscriptional gene silencing	113	134	95	134	490
219	GO:0035269	biological_process	protein O-linked mannosylation	113	131	89	131	479
220	GO:0036360	biological_process	sorocarp stalk morphogenesis	113	124	84	124	453
221	GO:0046718	biological_process	viral entry into host cell	113	119	72	119	435
222	GO:0003283	biological_process	atrial septum development	112	127	99	127	464
223	GO:0030501	biological_process	positive regulation of bone mineralization	112	134	80	134	490
224	GO:0010038	biological_process	response to metal ion	112	125	76	125	457
225	GO:0097718	molecular_function	disordered domain specific binding	111	126	81	126	461
226	GO:0005853	cellular_component	eukaryotic translation elongation factor 1 complex	111	127	77	127	464
227	GO:0004402	molecular_function	histone acetyltransferase activity	111	126	93	126	461
228	GO:0070498	biological_process	interleukin-1-mediated signaling pathway	111	120	81	120	439
229	GO:0043388	biological_process	positive regulation of DNA binding	111	128	93	128	468
230	GO:0004022	molecular_function	alcohol dehydrogenase (NAD) activity	110	148	66	148	541
231	GO:0099055	cellular_component	integral component of postsynaptic membrane	110	128	110	128	468
232	GO:0055129	biological_process	L-proline biosynthetic process	110	124	75	124	453
233	GO:0010206	biological_process	photosystem II repair	110	122	73	122	446
234	GO:0009736	biological_process	cytokinin-activated signaling pathway	109	120	72	120	439
235	GO:0051897	biological_process	positive regulation of protein kinase B signaling	109	115	85	115	420
236	GO:0010608	biological_process	posttranscriptional regulation of gene expression	109	132	98	132	483
237	GO:1902806	biological_process	regulation of cell cycle G1/S phase transition	109	130	96	130	475
238	GO:0009645	biological_process	response to low light intensity stimulus	109	127	71	127	464
239	GO:0034063	biological_process	stress granule assembly	109	129	90	129	472
240	GO:0043162	biological_process	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	109	118	78	118	431
241	GO:0043190	cellular_component	ATP-binding cassette (ABC) transporter complex	107	125	75	125	457
242	GO:0071310	biological_process	cellular response to organic substance	107	130	92	130	475
243	GO:0033270	cellular_component	paranode region of axon	107	114	86	114	417
244	GO:0048026	biological_process	positive regulation of mRNA splicing, via spliceosome	107	141	110	141	516
245	GO:0004673	molecular_function	protein histidine kinase activity	107	114	66	114	417
246	GO:0010243	biological_process	response to organonitrogen compound	107	125	78	125	457
247	GO:0060021	biological_process	roof of mouth development	107	120	89	120	439
248	GO:0009098	biological_process	leucine biosynthetic process	106	139	102	139	508
249	GO:0045861	biological_process	negative regulation of proteolysis	106	124	81	124	453
250	GO:0034199	biological_process	activation of protein kinase A activity	105	136	93	136	497
251	GO:0008637	biological_process	apoptotic mitochondrial changes	105	114	58	114	417
252	GO:0004151	molecular_function	dihydroorotase activity	105	167	113	167	611
253	GO:0043409	biological_process	negative regulation of MAPK cascade	105	122	90	122	446
254	GO:0006911	biological_process	phagocytosis, engulfment	105	122	81	122	446
255	GO:0090316	biological_process	positive regulation of intracellular protein transport	105	114	84	114	417
256	GO:0042307	biological_process	positive regulation of protein import into nucleus	105	120	79	120	439
257	GO:0033209	biological_process	tumor necrosis factor-mediated signaling pathway	105	124	80	124	453
258	GO:0008301	molecular_function	DNA binding, bending	104	123	80	123	450
259	GO:0016938	cellular_component	kinesin I complex	104	111	70	111	406
260	GO:0050998	molecular_function	nitric-oxide synthase binding	104	124	91	124	453
261	GO:0016409	molecular_function	palmitoyltransferase activity	104	125	105	125	457
262	GO:0008016	biological_process	regulation of heart contraction	104	124	96	124	453
263	GO:0048488	biological_process	synaptic vesicle endocytosis	104	120	82	120	439
264	GO:0048268	biological_process	clathrin coat assembly	103	127	93	127	464
265	GO:0047334	molecular_function	diphosphate-fructose-6-phosphate 1-phosphotransferase activity	103	205	137	205	750
266	GO:0004571	molecular_function	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	103	123	74	123	450
267	GO:0040038	biological_process	polar body extrusion after meiotic divisions	103	112	69	112	410
268	GO:1903669	biological_process	positive regulation of chemorepellent activity	103	129	89	129	472
269	GO:0048149	biological_process	behavioral response to ethanol	102	118	91	118	431
270	GO:0019264	biological_process	glycine biosynthetic process from serine	102	130	72	130	475
271	GO:0004372	molecular_function	glycine hydroxymethyltransferase activity	102	130	72	130	475
272	GO:0008746	molecular_function	NAD(P)+ transhydrogenase activity	102	174	91	174	636
273	GO:0008217	biological_process	regulation of blood pressure	102	138	109	138	505
274	GO:0004316	molecular_function	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	101	114	76	114	417
275	GO:0008306	biological_process	associative learning	101	147	114	147	537
276	GO:0043679	cellular_component	axon terminus	101	117	91	117	428
277	GO:0009707	cellular_component	chloroplast outer membrane	101	114	78	114	417
278	GO:0033344	biological_process	cholesterol efflux	101	111	79	111	406
279	GO:0045070	biological_process	positive regulation of viral genome replication	101	122	90	122	446
280	GO:0030100	biological_process	regulation of endocytosis	101	115	74	115	420
281	GO:0051489	biological_process	regulation of filopodium assembly	101	114	80	114	417
282	GO:0044257	biological_process	cellular protein catabolic process	100	116	83	116	424
283	GO:0031941	cellular_component	filamentous actin	100	108	73	108	395
284	GO:0018024	molecular_function	histone-lysine N-methyltransferase activity	100	111	70	111	406
285	GO:0097431	cellular_component	mitotic spindle pole	100	115	85	115	420
286	GO:0051001	biological_process	negative regulation of nitric-oxide synthase activity	100	120	88	120	439
287	GO:0030288	cellular_component	outer membrane-bounded periplasmic space	100	113	76	113	413
288	GO:0005983	biological_process	starch catabolic process	100	120	74	120	439
289	GO:0006637	biological_process	acyl-CoA metabolic process	99	119	70	119	435
290	GO:0070370	biological_process	cellular heat acclimation	99	126	90	126	461
291	GO:0060325	biological_process	face morphogenesis	99	111	84	111	406
292	GO:0000266	biological_process	mitochondrial fission	99	112	71	112	410
293	GO:0010942	biological_process	positive regulation of cell death	99	110	79	110	402
294	GO:0070475	biological_process	rRNA base methylation	99	115	77	115	420
295	GO:0021510	biological_process	spinal cord development	99	114	77	114	417
296	GO:0005459	molecular_function	UDP-galactose transmembrane transporter activity	99	113	83	113	413
297	GO:0014832	biological_process	urinary bladder smooth muscle contraction	99	118	87	118	431
298	GO:0086005	biological_process	ventricular cardiac muscle cell action potential	99	110	82	110	402
299	GO:0010019	biological_process	chloroplast-nucleus signaling pathway	98	104	63	104	380
300	GO:0009423	biological_process	chorismate biosynthetic process	98	118	89	118	431
301	GO:0004144	molecular_function	diacylglycerol O-acyltransferase activity	98	146	122	146	534
302	GO:0090543	cellular_component	Flemming body	98	100	66	100	366
303	GO:0005179	molecular_function	hormone activity	98	125	84	125	457
304	GO:0043657	cellular_component	host cell	98	119	84	119	435
305	GO:0016298	molecular_function	lipase activity	98	130	99	130	475
306	GO:0009909	biological_process	regulation of flower development	98	115	74	115	420
307	GO:0031297	biological_process	replication fork processing	98	110	72	110	402
308	GO:0030904	cellular_component	retromer complex	98	124	84	124	453
309	GO:0085030	biological_process	symbiotic process benefiting host	98	131	106	131	479
310	GO:0001570	biological_process	vasculogenesis	98	106	82	106	388
311	GO:0007267	biological_process	cell-cell signaling	97	118	88	118	431
312	GO:0030346	molecular_function	protein phosphatase 2B binding	97	118	88	118	431
313	GO:0060307	biological_process	regulation of ventricular cardiac muscle cell membrane repolarization	97	108	85	108	395
314	GO:0009620	biological_process	response to fungus	97	122	82	122	446
315	GO:0009374	molecular_function	biotin binding	96	107	60	107	391
316	GO:0021549	biological_process	cerebellum development	96	107	80	107	391
317	GO:0000138	cellular_component	Golgi trans cisterna	96	121	90	121	442
318	GO:0010105	biological_process	negative regulation of ethylene-activated signaling pathway	96	106	55	106	388
319	GO:0042549	biological_process	photosystem II stabilization	96	126	61	126	461
320	GO:0004653	molecular_function	polypeptide N-acetylgalactosaminyltransferase activity	96	112	88	112	410
321	GO:0034501	biological_process	protein localization to kinetochore	96	119	87	119	435
322	GO:0009314	biological_process	response to radiation	96	121	88	121	442
323	GO:0097190	biological_process	apoptotic signaling pathway	95	109	78	109	399
324	GO:0019221	biological_process	cytokine-mediated signaling pathway	95	106	83	106	388
325	GO:0004527	molecular_function	exonuclease activity	95	113	83	113	413
326	GO:0005834	cellular_component	heterotrimeric G-protein complex	95	106	40	106	388
327	GO:0005049	molecular_function	nuclear export signal receptor activity	95	116	75	116	424
328	GO:0034097	biological_process	response to cytokine	95	141	116	141	516
329	GO:0019028	cellular_component	viral capsid	95	102	45	102	373
330	GO:0004314	molecular_function	[acyl-carrier-protein] S-malonyltransferase activity	94	126	93	126	461
331	GO:0048490	biological_process	anterograde synaptic vesicle transport	94	100	78	100	366
332	GO:0036503	biological_process	ERAD pathway	94	100	70	100	366
333	GO:0006424	biological_process	glutamyl-tRNA aminoacylation	94	120	69	120	439
334	GO:0050667	biological_process	homocysteine metabolic process	94	115	70	115	420
335	GO:0005222	molecular_function	intracellular cAMP-activated cation channel activity	94	123	111	123	450
336	GO:0030151	molecular_function	molybdenum ion binding	94	117	70	117	428
337	GO:0046716	biological_process	muscle cell cellular homeostasis	94	115	73	115	420
338	GO:0031086	biological_process	nuclear-transcribed mRNA catabolic process, deadenylation-independent decay	94	113	97	113	413
339	GO:0035307	biological_process	positive regulation of protein dephosphorylation	94	101	73	101	369
340	GO:0015267	molecular_function	channel activity	93	111	85	111	406
341	GO:0004869	molecular_function	cysteine-type endopeptidase inhibitor activity	93	100	69	100	366
342	GO:0016156	molecular_function	fumarate reductase (NADH) activity	93	219	79	219	801
343	GO:0045169	cellular_component	fusome	93	106	57	106	388
344	GO:0006683	biological_process	galactosylceramide catabolic process	93	101	74	101	369
345	GO:0034389	biological_process	lipid droplet organization	93	105	78	105	384
346	GO:0016242	biological_process	negative regulation of macroautophagy	93	97	59	97	355
347	GO:0010751	biological_process	negative regulation of nitric oxide mediated signal transduction	93	112	82	112	410
348	GO:0021915	biological_process	neural tube development	93	102	86	102	373
349	GO:0015037	molecular_function	peptide disulfide oxidoreductase activity	93	97	56	97	355
350	GO:0046662	biological_process	regulation of oviposition	93	105	72	105	384
351	GO:0031667	biological_process	response to nutrient levels	93	109	73	109	399
352	GO:0000375	biological_process	RNA splicing, via transesterification reactions	93	104	72	104	380
353	GO:0008542	biological_process	visual learning	93	124	85	124	453
354	GO:0000036	molecular_function	acyl carrier activity	92	103	63	103	377
355	GO:0009926	biological_process	auxin polar transport	92	135	85	135	494
356	GO:0030863	cellular_component	cortical cytoskeleton	92	98	71	98	358
357	GO:0000911	biological_process	cytokinesis by cell plate formation	92	109	75	109	399
358	GO:0071556	cellular_component	integral component of lumenal side of endoplasmic reticulum membrane	92	109	75	109	399
359	GO:1904357	biological_process	negative regulation of telomere maintenance via telomere lengthening	92	113	93	113	413
360	GO:0007031	biological_process	peroxisome organization	92	107	63	107	391
361	GO:0006644	biological_process	phospholipid metabolic process	92	98	73	98	358
362	GO:0006621	biological_process	protein retention in ER lumen	92	136	100	136	497
363	GO:0019216	biological_process	regulation of lipid metabolic process	92	104	65	104	380
364	GO:0017048	molecular_function	Rho GTPase binding	92	109	80	109	399
365	GO:0005786	cellular_component	signal recognition particle, endoplasmic reticulum targeting	92	111	85	111	406
366	GO:0048039	molecular_function	ubiquinone binding	92	113	69	113	413
367	GO:0006821	biological_process	chloride transport	91	113	91	113	413
368	GO:0006534	biological_process	cysteine metabolic process	91	108	71	108	395
369	GO:0005528	molecular_function	FK506 binding	91	113	87	113	413
370	GO:0061157	biological_process	mRNA destabilization	91	108	77	108	395
371	GO:0030016	cellular_component	myofibril	91	121	88	121	442
372	GO:1903243	biological_process	negative regulation of cardiac muscle hypertrophy in response to stress	91	110	80	110	402
