go	ontology	name	genes_day	transcripts_day	proteins_day	total_day	total_day_CPM	genes_night	transcripts_night	proteins_night	total_night	total_night_CPM
GO:0005789	cellular_component	endoplasmic reticulum membrane	4726	5660	3880	5660	6336	3529	3983	2569	3983	6102
GO:0003924	molecular_function	GTPase activity	3300	4338	2286	4338	4856	2884	3765	1698	3765	5768
GO:0022627	cellular_component	cytosolic small ribosomal subunit	3223	4031	1672	4031	4512	2917	3684	1518	3684	5644
GO:0005743	cellular_component	mitochondrial inner membrane	3012	3835	2304	3835	4293	2546	3108	1696	3108	4761
GO:0003729	molecular_function	mRNA binding	3355	4251	2600	4251	4758	2514	3086	1797	3086	4728
GO:0002181	biological_process	cytoplasmic translation	2565	3028	1272	3028	3389	2470	2957	1189	2957	4530
GO:0005764	cellular_component	lysosome	2762	3674	2595	3674	4112	2285	2842	1876	2842	4354
GO:0000139	cellular_component	Golgi membrane	3342	3940	2730	3940	4410	2454	2782	1854	2782	4262
GO:0016567	biological_process	protein ubiquitination	3373	3924	2440	3924	4392	2495	2772	1597	2772	4247
GO:0005615	cellular_component	extracellular space	3011	3787	2604	3787	4239	2276	2767	1751	2767	4239
GO:0042802	molecular_function	identical protein binding	3151	3695	2554	3695	4136	2375	2645	1815	2645	4052
GO:0006468	biological_process	protein phosphorylation	3215	3853	2621	3853	4313	2330	2558	1671	2558	3919
GO:0006511	biological_process	ubiquitin-dependent protein catabolic process	3018	3599	2320	3599	4029	2265	2557	1491	2557	3917
GO:0009506	cellular_component	plasmodesma	2737	3343	1925	3343	3742	2111	2554	1364	2554	3913
GO:0015031	biological_process	protein transport	2836	3354	2222	3354	3754	2216	2518	1630	2518	3858
GO:0000287	molecular_function	magnesium ion binding	2702	3483	2136	3483	3899	2097	2518	1469	2518	3858
GO:0051301	biological_process	cell division	2860	3496	2360	3496	3913	2197	2481	1576	2481	3801
GO:0005759	cellular_component	mitochondrial matrix	2511	3036	1872	3036	3398	2133	2457	1462	2457	3764
GO:0035556	biological_process	intracellular signal transduction	3155	3802	2658	3802	4256	2183	2443	1674	2443	3743
GO:0005774	cellular_component	vacuolar membrane	2539	3112	1905	3112	3483	2014	2380	1313	2380	3646
GO:0051082	molecular_function	unfolded protein binding	2657	3386	1892	3386	3790	1948	2378	1294	2378	3643
GO:0005516	molecular_function	calmodulin binding	3058	3689	2585	3689	4129	2074	2348	1593	2348	3597
GO:0005887	cellular_component	integral component of plasma membrane	2693	3353	2464	3353	3753	2026	2321	1584	2321	3556
GO:0006886	biological_process	intracellular protein transport	2561	3109	2025	3109	3480	1936	2250	1400	2250	3447
GO:0042803	molecular_function	protein homodimerization activity	2851	3324	2169	3324	3721	1999	2241	1490	2241	3433
GO:0005975	biological_process	carbohydrate metabolic process	2186	2928	2000	2928	3277	1740	2206	1471	2206	3380
GO:0019843	molecular_function	rRNA binding	2022	2462	1162	2462	2756	1744	2195	944	2195	3363
GO:0006457	biological_process	protein folding	2483	3142	1814	3142	3517	1764	2163	1231	2163	3314
GO:0016491	molecular_function	oxidoreductase activity	2318	3013	2037	3013	3373	1713	2145	1398	2145	3286
GO:0048471	cellular_component	perinuclear region of cytoplasm	2658	3062	2101	3062	3427	1962	2141	1455	2141	3280
GO:0005813	cellular_component	centrosome	2338	2858	1977	2858	3199	1892	2126	1376	2126	3257
GO:0006099	biological_process	tricarboxylic acid cycle	1586	2393	1172	2393	2679	1459	2124	1121	2124	3254
GO:0007018	biological_process	microtubule-based movement	2164	2676	1568	2676	2995	1873	2087	1173	2087	3197
GO:0022626	cellular_component	cytosolic ribosome	2069	2501	1250	2501	2799	1680	2065	979	2065	3164
GO:0005856	cellular_component	cytoskeleton	2099	2595	1652	2595	2905	1736	2045	1129	2045	3133
GO:0005773	cellular_component	vacuole	2105	2613	1656	2613	2925	1688	1988	1179	1988	3046
GO:0031514	cellular_component	motile cilium	1782	2279	1497	2279	2551	1731	1976	1179	1976	3027
GO:0005929	cellular_component	cilium	1943	2469	1740	2469	2764	1747	1957	1258	1957	2998
GO:0003746	molecular_function	translation elongation factor activity	1585	2096	1082	2096	2346	1440	1881	898	1881	2882
GO:0043231	cellular_component	intracellular membrane-bounded organelle	2063	2520	1804	2520	2821	1600	1794	1211	1794	2748
GO:0007049	biological_process	cell cycle	2073	2481	1705	2481	2777	1592	1774	1119	1774	2718
GO:0070062	cellular_component	extracellular exosome	1946	2247	1561	2247	2515	1521	1692	1172	1692	2592
GO:0003777	molecular_function	microtubule motor activity	1900	2294	1375	2294	2568	1538	1687	955	1687	2584
GO:0007275	biological_process	multicellular organism development	1900	2238	1516	2238	2505	1496	1672	1047	1672	2561
GO:0006281	biological_process	DNA repair	1806	2164	1385	2164	2422	1469	1651	992	1651	2529
GO:0005618	cellular_component	cell wall	1723	2132	1295	2132	2386	1319	1633	943	1633	2502
GO:0046777	biological_process	protein autophosphorylation	2129	2568	1839	2568	2874	1463	1622	1098	1622	2485
GO:0004842	molecular_function	ubiquitin-protein transferase activity	1984	2309	1542	2309	2585	1457	1614	987	1614	2473
GO:0016607	cellular_component	nuclear speck	1774	2238	1599	2238	2505	1364	1593	1153	1593	2440
GO:0060271	biological_process	cilium assembly	1586	1996	1392	1996	2234	1403	1578	1028	1578	2417
GO:0008017	molecular_function	microtubule binding	1792	2201	1428	2201	2464	1412	1563	960	1563	2394
GO:0050660	molecular_function	flavin adenine dinucleotide binding	1632	2197	1327	2197	2459	1207	1561	967	1561	2391
GO:0042626	molecular_function	ATPase-coupled transmembrane transporter activity	1711	2100	1415	2100	2351	1360	1554	988	1554	2381
GO:0000398	biological_process	mRNA splicing, via spliceosome	1594	2095	1302	2095	2345	1289	1539	984	1539	2358
GO:0030286	cellular_component	dynein complex	1333	1631	836	1631	1826	1332	1507	749	1507	2309
GO:0006096	biological_process	glycolytic process	1333	1934	1010	1934	2165	1081	1480	748	1480	2267
GO:0006364	biological_process	rRNA processing	1548	1768	1078	1768	1979	1364	1478	865	1478	2264
GO:0043161	biological_process	proteasome-mediated ubiquitin-dependent protein catabolic process	1716	2034	1342	2034	2277	1301	1459	908	1459	2235
GO:0042788	cellular_component	polysomal ribosome	1469	1771	839	1771	1982	1185	1456	663	1456	2231
GO:0005930	cellular_component	axoneme	1317	1643	1100	1643	1839	1308	1456	901	1456	2231
GO:0004197	molecular_function	cysteine-type endopeptidase activity	1214	1718	1072	1718	1923	1083	1421	818	1421	2177
GO:0051539	molecular_function	4 iron, 4 sulfur cluster binding	1477	1985	1134	1985	2222	1107	1419	760	1419	2174
GO:0006508	biological_process	proteolysis	1662	2097	1404	2097	2347	1206	1405	894	1405	2152
GO:0045454	biological_process	cell redox homeostasis	1695	2106	1311	2106	2357	1153	1401	818	1401	2146
GO:0018105	biological_process	peptidyl-serine phosphorylation	1815	2184	1559	2184	2445	1250	1397	931	1397	2140
GO:0032991	cellular_component	protein-containing complex	1649	1891	1290	1891	2117	1254	1393	925	1393	2134
GO:0006397	biological_process	mRNA processing	1710	2142	1455	2142	2398	1203	1389	942	1389	2128
GO:0051603	biological_process	proteolysis involved in cellular protein catabolic process	1215	1674	1034	1674	1874	1078	1387	765	1387	2125
GO:0005768	cellular_component	endosome	1708	2016	1371	2016	2257	1231	1383	892	1383	2119
GO:0000027	biological_process	ribosomal large subunit assembly	1174	1441	729	1441	1613	1069	1378	642	1378	2111
GO:0045335	cellular_component	phagocytic vesicle	1357	1708	999	1708	1912	1167	1376	759	1376	2108
GO:1990904	cellular_component	ribonucleoprotein complex	1519	1840	1187	1840	2060	1182	1372	804	1372	2102
GO:0007165	biological_process	signal transduction	1602	1856	1324	1856	2078	1247	1369	903	1369	2097
GO:0020037	molecular_function	heme binding	1556	2057	1236	2057	2303	1065	1355	763	1355	2076
GO:0051287	molecular_function	NAD binding	1372	1909	1070	1909	2137	1029	1355	737	1355	2076
GO:0005788	cellular_component	endoplasmic reticulum lumen	1455	1887	1245	1887	2112	1023	1334	881	1334	2044
GO:0004672	molecular_function	protein kinase activity	1741	2023	1420	2023	2264	1226	1326	837	1326	2031
GO:0005506	molecular_function	iron ion binding	1513	2040	1334	2040	2283	1022	1316	800	1316	2016
GO:0005777	cellular_component	peroxisome	1275	1714	994	1714	1919	1028	1284	684	1284	1967
GO:0046982	molecular_function	protein heterodimerization activity	1234	1492	925	1492	1670	1034	1269	709	1269	1944
GO:0004386	molecular_function	helicase activity	1448	1812	1087	1812	2028	1097	1265	779	1265	1938
GO:0009651	biological_process	response to salt stress	1466	1753	1116	1753	1962	1118	1257	719	1257	1926
GO:0009986	cellular_component	cell surface	1482	1762	1228	1762	1972	1059	1253	891	1253	1920
GO:0019901	molecular_function	protein kinase binding	1495	1751	1219	1751	1960	1110	1248	832	1248	1912
GO:0016192	biological_process	vesicle-mediated transport	1332	1656	1012	1656	1854	1026	1225	721	1225	1877
GO:0031012	cellular_component	extracellular matrix	1085	1275	803	1275	1427	1024	1224	744	1224	1875
GO:0031625	molecular_function	ubiquitin protein ligase binding	1288	1516	961	1516	1697	1048	1201	691	1201	1840
GO:0030170	molecular_function	pyridoxal phosphate binding	1367	1704	1068	1704	1907	991	1190	705	1190	1823
GO:0055085	biological_process	transmembrane transport	1359	1649	1189	1649	1846	1052	1187	819	1187	1818
GO:0009055	molecular_function	electron transfer activity	1403	1734	966	1734	1941	952	1166	647	1166	1786
GO:0061630	molecular_function	ubiquitin protein ligase activity	1414	1662	1161	1662	1860	1066	1158	713	1158	1774
GO:0006888	biological_process	endoplasmic reticulum to Golgi vesicle-mediated transport	1364	1643	1152	1643	1839	978	1138	774	1138	1743
GO:0005802	cellular_component	trans-Golgi network	1458	1679	1110	1679	1879	1028	1135	735	1135	1739
GO:0043025	cellular_component	neuronal cell body	1403	1615	1154	1615	1808	1001	1126	741	1126	1725
GO:0007283	biological_process	spermatogenesis	1301	1546	1090	1546	1731	994	1118	747	1118	1713
GO:0045505	molecular_function	dynein intermediate chain binding	1000	1218	618	1218	1363	996	1115	551	1115	1708
GO:0030154	biological_process	cell differentiation	1413	1605	1117	1605	1797	1024	1112	744	1112	1704
GO:0045944	biological_process	positive regulation of transcription by RNA polymerase II	1359	1562	1105	1562	1748	1019	1109	770	1109	1699
GO:0046686	biological_process	response to cadmium ion	1275	1509	914	1509	1689	951	1082	641	1082	1658
GO:0055114	biological_process	oxidation-reduction process	1251	1550	994	1550	1735	894	1063	685	1063	1628
GO:0003743	molecular_function	translation initiation factor activity	1234	1557	1024	1557	1743	892	1061	631	1061	1625
GO:0050661	molecular_function	NADP binding	1084	1520	828	1520	1701	787	1061	603	1061	1625
GO:0006915	biological_process	apoptotic process	1327	1500	1025	1500	1679	957	1056	716	1056	1618
GO:0016787	molecular_function	hydrolase activity	1233	1500	1050	1500	1679	931	1055	714	1055	1616
GO:0009570	cellular_component	chloroplast stroma	1824	2102	1277	2102	2353	920	1052	591	1052	1612
GO:0030246	molecular_function	carbohydrate binding	1142	1448	1034	1448	1621	870	1042	710	1042	1596
GO:0006974	biological_process	cellular response to DNA damage stimulus	1136	1312	897	1312	1469	944	1017	641	1017	1558
GO:0031410	cellular_component	cytoplasmic vesicle	1038	1239	864	1239	1387	898	1016	641	1016	1556
GO:0006979	biological_process	response to oxidative stress	1224	1437	882	1437	1609	880	996	576	996	1526
GO:0008380	biological_process	RNA splicing	1199	1534	1056	1534	1717	850	995	664	995	1524
GO:0010008	cellular_component	endosome membrane	1132	1368	942	1368	1531	884	980	669	980	1501
GO:0030425	cellular_component	dendrite	1336	1505	1064	1505	1685	885	978	666	978	1498
GO:0005681	cellular_component	spliceosomal complex	1055	1393	912	1393	1559	802	978	623	978	1498
GO:0006260	biological_process	DNA replication	1114	1438	898	1438	1610	807	976	606	976	1495
GO:0051015	molecular_function	actin filament binding	1101	1287	845	1287	1441	883	967	603	967	1481
GO:0022857	molecular_function	transmembrane transporter activity	1059	1389	1036	1389	1555	778	964	644	964	1477
GO:0043005	cellular_component	neuron projection	1191	1351	965	1351	1512	856	951	667	951	1457
GO:0003779	molecular_function	actin binding	1126	1293	807	1293	1447	860	937	613	937	1435
GO:0019899	molecular_function	enzyme binding	1203	1416	943	1416	1585	828	930	613	930	1425
GO:0016324	cellular_component	apical plasma membrane	1116	1322	937	1322	1480	832	928	659	928	1422
GO:0030424	cellular_component	axon	1192	1358	989	1358	1520	843	925	649	925	1417
GO:0003682	molecular_function	chromatin binding	1091	1236	877	1236	1384	828	915	637	915	1402
GO:0009535	cellular_component	chloroplast thylakoid membrane	2322	2905	1507	2905	3252	786	913	424	913	1399
GO:0009408	biological_process	response to heat	1192	1391	861	1391	1557	825	911	542	911	1396
GO:0031146	biological_process	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	1215	1402	815	1402	1569	822	907	486	907	1390
GO:0009941	cellular_component	chloroplast envelope	1591	1881	1106	1881	2105	774	901	497	901	1380
GO:0019005	cellular_component	SCF ubiquitin ligase complex	1175	1357	786	1357	1519	817	898	481	898	1376
GO:0003755	molecular_function	peptidyl-prolyl cis-trans isomerase activity	1029	1292	807	1292	1446	782	892	517	892	1367
GO:0000209	biological_process	protein polyubiquitination	1129	1327	925	1327	1485	814	887	553	887	1359
GO:0004683	molecular_function	calmodulin-dependent protein kinase activity	1254	1523	1117	1523	1705	788	880	629	880	1348
GO:0048046	cellular_component	apoplast	1070	1264	788	1264	1415	757	879	508	879	1347
GO:0061158	biological_process	3-UTR-mediated mRNA destabilization	334	431	345	431	482	704	869	580	869	1331
GO:0000122	biological_process	negative regulation of transcription by RNA polymerase II	1101	1238	824	1238	1386	796	866	591	866	1327
GO:0006897	biological_process	endocytosis	1047	1249	858	1249	1398	770	862	536	862	1321
GO:0005938	cellular_component	cell cortex	999	1153	719	1153	1291	767	858	528	858	1314
GO:0044877	molecular_function	protein-containing complex binding	962	1083	734	1083	1212	740	822	559	822	1259
GO:0010628	biological_process	positive regulation of gene expression	964	1133	787	1133	1268	720	816	551	816	1250
GO:0098978	cellular_component	glutamatergic synapse	999	1193	870	1193	1335	723	815	569	815	1249
GO:0005635	cellular_component	nuclear envelope	1056	1172	770	1172	1312	748	813	554	813	1245
GO:0006355	biological_process	regulation of transcription, DNA-templated	984	1113	686	1113	1246	748	810	509	810	1241
GO:0034765	biological_process	regulation of ion transmembrane transport	1051	1365	1212	1365	1528	721	790	665	790	1210
GO:0030054	cellular_component	cell junction	1028	1189	874	1189	1331	709	774	586	774	1186
GO:0006807	biological_process	nitrogen compound metabolic process	314	591	400	591	662	222	369	244	369	565
GO:0008097	molecular_function	5S rRNA binding	307	389	216	389	435	256	339	193	339	519
GO:0016162	molecular_function	cellulose 1,4-beta-cellobiosidase activity	304	604	340	604	676	187	329	218	329	504
GO:0004300	molecular_function	enoyl-CoA hydratase activity	239	446	253	446	499	206	323	185	323	495
GO:0004029	molecular_function	aldehyde dehydrogenase (NAD) activity	243	300	183	300	336	254	320	180	320	490
GO:0022900	biological_process	electron transport chain	249	414	222	414	463	185	319	173	319	489
GO:0009086	biological_process	methionine biosynthetic process	301	379	228	379	424	243	318	216	318	487
GO:0071014	cellular_component	post-mRNA release spliceosomal complex	327	421	251	421	471	251	315	196	315	483
GO:0003988	molecular_function	acetyl-CoA C-acyltransferase activity	238	376	201	376	421	219	308	168	308	472
GO:0030248	molecular_function	cellulose binding	319	537	344	537	601	210	305	225	305	467
GO:0031386	molecular_function	protein tag	274	331	139	331	371	239	305	111	305	467
GO:0000015	cellular_component	phosphopyruvate hydratase complex	222	386	171	386	432	181	303	138	303	464
GO:0004634	molecular_function	phosphopyruvate hydratase activity	222	386	171	386	432	181	303	138	303	464
GO:0031305	cellular_component	integral component of mitochondrial inner membrane	272	323	179	323	362	244	297	149	297	455
GO:0006749	biological_process	glutathione metabolic process	306	364	217	364	407	250	289	154	289	443
GO:0004427	molecular_function	inorganic diphosphatase activity	302	420	235	420	470	242	289	140	289	443
GO:0005791	cellular_component	rough endoplasmic reticulum	290	346	182	346	387	251	289	136	289	443
GO:0031593	molecular_function	polyubiquitin modification-dependent protein binding	313	384	241	384	430	238	287	168	287	440
GO:0032391	cellular_component	photoreceptor connecting cilium	258	328	225	328	367	255	285	195	285	437
GO:0036158	biological_process	outer dynein arm assembly	259	344	213	344	385	247	284	167	284	435
GO:0005682	cellular_component	U5 snRNP	254	375	218	375	420	211	284	192	284	435
GO:0046556	molecular_function	alpha-L-arabinofuranosidase activity	229	326	261	326	365	234	280	199	280	429
GO:0102483	molecular_function	scopolin beta-glucosidase activity	298	415	296	415	465	213	278	196	278	426
GO:0016018	molecular_function	cyclosporin A binding	290	349	191	349	391	248	278	137	278	426
GO:0031175	biological_process	neuron projection development	305	352	250	352	394	251	276	193	276	423
GO:0090630	biological_process	activation of GTPase activity	281	325	230	325	364	254	276	195	276	423
GO:0042645	cellular_component	mitochondrial nucleoid	257	314	212	314	351	226	275	177	275	421
GO:0003887	molecular_function	DNA-directed DNA polymerase activity	311	387	241	387	433	256	274	169	274	420
GO:0008422	molecular_function	beta-glucosidase activity	297	413	289	413	462	209	274	193	274	420
GO:0005832	cellular_component	chaperonin-containing T-complex	292	330	185	330	369	251	274	140	274	420
GO:0030335	biological_process	positive regulation of cell migration	285	322	235	322	360	254	274	185	274	420
GO:0001822	biological_process	kidney development	329	394	291	394	441	248	273	195	273	418
GO:0007286	biological_process	spermatid development	292	344	209	344	385	239	271	177	271	415
GO:0008654	biological_process	phospholipid biosynthetic process	284	328	225	328	367	246	271	172	271	415
GO:0016529	cellular_component	sarcoplasmic reticulum	327	374	304	374	419	248	270	194	270	414
GO:0045836	biological_process	positive regulation of meiotic nuclear division	294	416	338	416	466	207	269	211	269	412
GO:0048511	biological_process	rhythmic process	314	346	225	346	387	247	268	172	268	411
GO:0004707	molecular_function	MAP kinase activity	305	409	274	409	458	233	267	165	267	409
GO:0045471	biological_process	response to ethanol	290	343	216	343	384	235	267	162	267	409
GO:0007219	biological_process	Notch signaling pathway	305	346	247	346	387	251	266	199	266	408
GO:0035861	cellular_component	site of double-strand break	306	359	248	359	402	248	265	161	265	406
GO:0008540	cellular_component	proteasome regulatory particle, base subcomplex	318	388	252	388	434	226	263	155	263	403
GO:0050662	molecular_function	coenzyme binding	297	394	271	394	441	201	262	179	262	401
GO:0043123	biological_process	positive regulation of I-kappaB kinase/NF-kappaB signaling	297	342	254	342	383	238	261	174	261	400
GO:0035735	biological_process	intraciliary transport involved in cilium assembly	232	296	209	296	331	232	261	153	261	400
GO:0000978	molecular_function	RNA polymerase II proximal promoter sequence-specific DNA binding	332	377	276	377	422	229	259	190	259	397
GO:0006002	biological_process	fructose 6-phosphate metabolic process	273	396	246	396	443	204	259	168	259	397
GO:0000272	biological_process	polysaccharide catabolic process	268	379	277	379	424	216	259	184	259	397
GO:0030544	molecular_function	Hsp70 protein binding	307	356	251	356	398	233	258	181	258	395
GO:0031252	cellular_component	cell leading edge	305	327	182	327	366	237	258	164	258	395
GO:0009636	biological_process	response to toxic substance	297	379	260	379	424	221	258	169	258	395
GO:0008139	molecular_function	nuclear localization sequence binding	295	376	291	376	421	226	258	189	258	395
GO:0004467	molecular_function	long-chain fatty acid-CoA ligase activity	242	297	194	297	332	218	258	152	258	395
GO:0005778	cellular_component	peroxisomal membrane	305	357	231	357	400	235	257	147	257	394
GO:0030126	cellular_component	COPI vesicle coat	296	352	214	352	394	216	257	182	257	394
GO:0003824	molecular_function	catalytic activity	266	305	193	305	341	235	257	157	257	394
GO:0015030	cellular_component	Cajal body	266	330	220	330	369	228	257	180	257	394
GO:0071456	biological_process	cellular response to hypoxia	327	376	260	376	421	229	256	181	256	392
GO:0014070	biological_process	response to organic cyclic compound	313	357	205	357	400	227	256	168	256	392
GO:0005319	molecular_function	lipid transporter activity	251	304	206	304	340	228	256	153	256	392
GO:0017000	biological_process	antibiotic biosynthetic process	329	478	367	478	535	211	255	183	255	391
GO:0031430	cellular_component	M band	329	380	307	380	425	239	255	191	255	391
GO:0004519	molecular_function	endonuclease activity	261	293	187	293	328	225	255	155	255	391
GO:0007417	biological_process	central nervous system development	259	344	262	344	385	211	255	189	255	391
GO:0000776	cellular_component	kinetochore	304	349	217	349	391	226	254	177	254	389
GO:0030968	biological_process	endoplasmic reticulum unfolded protein response	302	361	224	361	404	213	254	148	254	389
GO:0046034	biological_process	ATP metabolic process	223	311	186	311	348	211	254	129	254	389
GO:0035091	molecular_function	phosphatidylinositol binding	284	335	278	335	375	231	253	185	253	388
GO:0001527	cellular_component	microfibril	117	167	105	167	187	177	252	172	252	386
GO:0030127	cellular_component	COPII vesicle coat	287	371	252	371	415	202	251	155	251	385
GO:0005315	molecular_function	inorganic phosphate transmembrane transporter activity	257	312	191	312	349	207	251	132	251	385
GO:0030060	molecular_function	L-malate dehydrogenase activity	238	322	176	322	360	191	251	160	251	385
GO:0004712	molecular_function	protein serine/threonine/tyrosine kinase activity	307	365	254	365	409	220	250	168	250	383
GO:0002161	molecular_function	aminoacyl-tRNA editing activity	297	353	225	353	395	216	250	157	250	383
GO:0005793	cellular_component	endoplasmic reticulum-Golgi intermediate compartment	320	370	240	370	414	233	249	175	249	381
GO:0005881	cellular_component	cytoplasmic microtubule	269	306	197	306	343	222	249	157	249	381
GO:0003996	molecular_function	acyl-CoA ligase activity	240	291	192	291	326	212	249	147	249	381
GO:0019706	molecular_function	protein-cysteine S-palmitoyltransferase activity	294	389	301	389	435	216	248	175	248	380
GO:0000723	biological_process	telomere maintenance	255	298	215	298	334	233	248	151	248	380
GO:0007052	biological_process	mitotic spindle organization	309	369	246	369	413	220	247	177	247	378
GO:0019003	molecular_function	GDP binding	274	324	211	324	363	207	247	138	247	378
GO:0047555	molecular_function	3,5-cyclic-GMP phosphodiesterase activity	278	386	298	386	432	212	246	181	246	377
GO:0008094	molecular_function	DNA-dependent ATPase activity	263	318	213	318	356	218	246	156	246	377
GO:0016605	cellular_component	PML body	263	308	216	308	345	222	246	182	246	377
GO:0097542	cellular_component	ciliary tip	224	288	205	288	322	220	246	150	246	377
GO:0000086	biological_process	G2/M transition of mitotic cell cycle	332	372	239	372	416	221	245	140	245	375
GO:0043547	biological_process	positive regulation of GTPase activity	271	312	211	312	349	213	245	167	245	375
GO:0007040	biological_process	lysosome organization	255	290	205	290	325	206	245	178	245	375
GO:0019941	biological_process	modification-dependent protein catabolic process	242	275	119	275	308	202	244	89	244	374
GO:0006954	biological_process	inflammatory response	300	324	245	324	363	230	243	161	243	372
GO:0001649	biological_process	osteoblast differentiation	277	311	213	311	348	205	243	172	243	372
GO:0102391	molecular_function	decanoate-CoA ligase activity	232	281	183	281	315	206	243	143	243	372
GO:0005604	cellular_component	basement membrane	228	273	221	273	306	211	243	188	243	372
GO:0070181	molecular_function	small ribosomal subunit rRNA binding	230	307	165	307	344	200	242	96	242	371
GO:0032508	biological_process	DNA duplex unwinding	266	321	219	321	359	223	240	147	240	368
GO:0005686	cellular_component	U2 snRNP	259	357	208	357	400	199	240	149	240	368
GO:0005776	cellular_component	autophagosome	259	298	210	298	334	224	240	147	240	368
GO:0006261	biological_process	DNA-dependent DNA replication	278	340	213	340	381	219	239	162	239	366
GO:0009723	biological_process	response to ethylene	276	337	207	337	377	215	238	133	238	365
GO:0030175	cellular_component	filopodium	275	316	214	316	354	213	238	155	238	365
GO:0004332	molecular_function	fructose-bisphosphate aldolase activity	237	322	177	322	360	174	238	131	238	365
GO:0042127	biological_process	regulation of cell population proliferation	322	348	247	348	390	220	236	161	236	362
GO:0009898	cellular_component	cytoplasmic side of plasma membrane	292	328	251	328	367	227	236	161	236	362
GO:0004693	molecular_function	cyclin-dependent protein serine/threonine kinase activity	285	365	242	365	409	210	236	157	236	362
GO:0050896	biological_process	response to stimulus	271	304	226	304	340	221	236	174	236	362
GO:0000777	cellular_component	condensed chromosome kinetochore	266	309	212	309	346	216	236	174	236	362
GO:0036459	molecular_function	thiol-dependent ubiquitinyl hydrolase activity	287	335	224	335	375	219	235	162	235	360
GO:0006520	biological_process	cellular amino acid metabolic process	242	303	206	303	339	205	235	148	235	360
GO:0016616	molecular_function	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	196	260	163	260	291	187	235	136	235	360
GO:0003688	molecular_function	DNA replication origin binding	279	347	233	347	388	207	234	159	234	358
GO:0050897	molecular_function	cobalt ion binding	261	333	202	333	373	183	234	148	234	358
GO:0006855	biological_process	drug transmembrane transport	241	289	221	289	323	225	234	170	234	358
GO:0052689	molecular_function	carboxylic ester hydrolase activity	255	316	251	316	354	213	233	164	233	357
GO:0004691	molecular_function	cAMP-dependent protein kinase activity	274	371	266	371	415	181	232	162	232	355
GO:0045177	cellular_component	apical part of cell	231	268	195	268	300	210	232	162	232	355
GO:0006513	biological_process	protein monoubiquitination	294	322	208	322	360	214	231	143	231	354
GO:0008603	molecular_function	cAMP-dependent protein kinase regulator activity	272	378	285	378	423	179	230	162	230	352
GO:0015631	molecular_function	tubulin binding	268	315	239	315	353	208	229	167	229	351
