	go	ontology	name	genes	transcripts	proteins	total	total_CPM
81	GO:0006904	biological_process	vesicle docking involved in exocytosis	180	193	122	193	994.9940971
82	GO:0097546	cellular_component	ciliary base	179	209	156	209	1077.480654
83	GO:0004356	molecular_function	glutamate-ammonia ligase activity	179	291	152	291	1500.22426
84	GO:0030991	cellular_component	intraciliary transport particle A	179	193	110	193	994.9940971
85	GO:0043235	cellular_component	receptor complex	178	192	122	192	989.8386872
86	GO:0003987	molecular_function	acetate-CoA ligase activity	177	238	125	238	1226.987539
87	GO:0044671	biological_process	sorocarp spore cell differentiation	177	195	120	195	1005.304917
88	GO:0005884	cellular_component	actin filament	176	190	131	190	979.5278676
89	GO:0030234	molecular_function	enzyme regulator activity	175	198	123	198	1020.771146
90	GO:0007163	biological_process	establishment or maintenance of cell polarity	175	189	116	189	974.3724577
91	GO:0009411	biological_process	response to UV	175	184	117	184	948.5954086
92	GO:0019774	cellular_component	proteasome core complex, beta-subunit complex	174	204	113	204	1051.703605
93	GO:0051591	biological_process	response to cAMP	174	219	131	219	1129.034753
94	GO:0098556	cellular_component	cytoplasmic side of rough endoplasmic reticulum membrane	173	196	80	196	1010.460327
95	GO:0098794	cellular_component	postsynapse	173	199	144	199	1025.926556
96	GO:0040008	biological_process	regulation of growth	172	183	113	183	943.4399988
97	GO:0003995	molecular_function	acyl-CoA dehydrogenase activity	171	208	108	208	1072.325244
98	GO:0002244	biological_process	hematopoietic progenitor cell differentiation	171	191	141	191	984.6832774
99	GO:0009678	molecular_function	pyrophosphate hydrolysis-driven proton transmembrane transporter activity	171	219	99	219	1129.034753
100	GO:0001889	biological_process	liver development	169	183	131	183	943.4399988
101	GO:0043202	cellular_component	lysosomal lumen	169	192	155	192	989.8386872
102	GO:0048015	biological_process	phosphatidylinositol-mediated signaling	150	158	106	158	814.554753
103	GO:0007033	biological_process	vacuole organization	150	159	97	159	819.7101629
104	GO:0005801	cellular_component	cis-Golgi network	149	172	122	172	886.7304906
105	GO:0051538	molecular_function	3 iron, 4 sulfur cluster binding	148	183	105	183	943.4399988
106	GO:0004115	molecular_function	3,5-cyclic-AMP phosphodiesterase activity	148	163	102	163	840.3318022
107	GO:0031419	molecular_function	cobalamin binding	148	170	109	170	876.419671
108	GO:0051645	biological_process	Golgi localization	148	163	112	163	840.3318022
109	GO:0019887	molecular_function	protein kinase regulator activity	148	160	101	160	824.8655727
110	GO:0047485	molecular_function	protein N-terminus binding	148	165	112	165	850.6426218
111	GO:0033179	cellular_component	proton-transporting V-type ATPase, V0 domain	148	192	82	192	989.8386872
112	GO:0097352	biological_process	autophagosome maturation	147	175	108	175	902.1967201
113	GO:0048487	molecular_function	beta-tubulin binding	147	164	103	164	845.487212
114	GO:0006098	biological_process	pentose-phosphate shunt	147	162	94	162	835.1763923
115	GO:0005080	molecular_function	protein kinase C binding	147	171	97	171	881.5750808
116	GO:0006452	biological_process	translational frameshifting	147	186	92	186	958.9062283
117	GO:0004013	molecular_function	adenosylhomocysteinase activity	146	200	97	200	1031.081966
118	GO:0030134	cellular_component	COPII-coated ER to Golgi transport vesicle	146	166	125	166	855.7980317
119	GO:0050829	biological_process	defense response to Gram-negative bacterium	146	151	79	151	778.4668842
120	GO:0051213	molecular_function	dioxygenase activity	146	161	114	161	830.0209825
121	GO:0046854	biological_process	phosphatidylinositol phosphorylation	146	152	86	152	783.6222941
122	GO:0071011	cellular_component	precatalytic spliceosome	146	181	123	181	933.1291791
123	GO:0018095	biological_process	protein polyglutamylation	146	167	103	167	860.9534415
124	GO:0000104	molecular_function	succinate dehydrogenase activity	146	317	163	317	1634.264916
125	GO:0032588	cellular_component	trans-Golgi network membrane	146	150	104	150	773.3114744
126	GO:0003994	molecular_function	aconitate hydratase activity	145	214	100	214	1103.257703
127	GO:0070814	biological_process	hydrogen sulfide biosynthetic process	145	198	129	198	1020.771146
128	GO:0006298	biological_process	mismatch repair	145	162	93	162	835.1763923
129	GO:0043524	biological_process	negative regulation of neuron apoptotic process	145	160	104	160	824.8655727
130	GO:0034045	cellular_component	phagophore assembly site membrane	145	162	83	162	835.1763923
131	GO:0120162	biological_process	positive regulation of cold-induced thermogenesis	145	162	119	162	835.1763923
132	GO:0042632	biological_process	cholesterol homeostasis	144	156	111	156	804.2439334
133	GO:0006122	biological_process	mitochondrial electron transport, ubiquinol to cytochrome c	144	158	65	158	814.554753
134	GO:0005750	cellular_component	mitochondrial respiratory chain complex III	144	174	100	174	897.0413103
135	GO:0090307	biological_process	mitotic spindle assembly	144	153	97	153	788.7777039
136	GO:0045905	biological_process	positive regulation of translational termination	144	183	92	183	943.4399988
137	GO:0008589	biological_process	regulation of smoothened signaling pathway	144	163	104	163	840.3318022
138	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly	144	172	113	172	886.7304906
139	GO:0030665	cellular_component	clathrin-coated vesicle membrane	143	168	116	168	866.1088513
140	GO:0042769	biological_process	DNA damage response, detection of DNA damage	143	157	107	157	809.3993432
141	GO:0000159	cellular_component	protein phosphatase type 2A complex	143	174	106	174	897.0413103
142	GO:0072593	biological_process	reactive oxygen species metabolic process	143	165	83	165	850.6426218
143	GO:0009615	biological_process	response to virus	143	164	116	164	845.487212
144	GO:0030041	biological_process	actin filament polymerization	142	149	86	149	768.1560646
145	GO:0000447	biological_process	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	142	162	71	162	835.1763923
146	GO:0032981	biological_process	mitochondrial respiratory chain complex I assembly	142	144	85	144	742.3790154
147	GO:0043209	cellular_component	myelin sheath	142	163	105	163	840.3318022
148	GO:0001843	biological_process	neural tube closure	142	165	120	165	850.6426218
149	GO:0030307	biological_process	positive regulation of cell growth	142	151	108	151	778.4668842
150	GO:1990573	biological_process	potassium ion import across plasma membrane	142	175	120	175	902.1967201
151	GO:0030334	biological_process	regulation of cell migration	142	152	90	152	783.6222941
152	GO:1903013	biological_process	response to differentiation-inducing factor 1	142	175	109	175	902.1967201
153	GO:0043627	biological_process	response to estrogen	142	161	121	161	830.0209825
154	GO:0071560	biological_process	cellular response to transforming growth factor beta stimulus	141	164	127	164	845.487212
155	GO:0006695	biological_process	cholesterol biosynthetic process	141	154	112	154	793.9331137
156	GO:0097421	biological_process	liver regeneration	141	157	100	157	809.3993432
157	GO:0086010	biological_process	membrane depolarization during action potential	141	158	155	158	814.554753
158	GO:0045879	biological_process	negative regulation of smoothened signaling pathway	110	115	70	115	592.8721304
159	GO:0033365	biological_process	protein localization to organelle	110	121	92	121	623.8045893
160	GO:0016279	molecular_function	protein-lysine N-methyltransferase activity	110	121	78	121	623.8045893
161	GO:0051384	biological_process	response to glucocorticoid	110	116	78	116	598.0275402
162	GO:0070509	biological_process	calcium ion import	109	118	106	118	608.3383599
163	GO:0009263	biological_process	deoxyribonucleotide biosynthetic process	109	230	134	230	1185.744261
164	GO:0099056	cellular_component	integral component of presynaptic membrane	109	121	108	121	623.8045893
165	GO:0006936	biological_process	muscle contraction	109	117	97	117	603.18295
166	GO:0042552	biological_process	myelination	109	115	83	115	592.8721304
167	GO:0005267	molecular_function	potassium channel activity	109	137	125	137	706.2911466
168	GO:0034394	biological_process	protein localization to cell surface	109	116	82	116	598.0275402
169	GO:1903779	biological_process	regulation of cardiac conduction	109	119	83	119	613.4937697
170	GO:0048678	biological_process	response to axon injury	109	119	65	119	613.4937697
171	GO:0008757	molecular_function	S-adenosylmethionine-dependent methyltransferase activity	109	138	95	138	711.4465564
172	GO:0042110	biological_process	T cell activation	109	123	97	123	634.115409
173	GO:0030133	cellular_component	transport vesicle	109	116	72	116	598.0275402
174	GO:0035578	cellular_component	azurophil granule lumen	108	124	100	124	639.2708188
175	GO:0003678	molecular_function	DNA helicase activity	108	123	79	123	634.115409
176	GO:0000105	biological_process	histidine biosynthetic process	108	120	83	120	618.6491795
177	GO:0005875	cellular_component	microtubule associated complex	108	111	61	111	572.2504911
178	GO:0051920	molecular_function	peroxiredoxin activity	108	135	68	135	695.980327
179	GO:1904355	biological_process	positive regulation of telomere capping	108	120	81	120	618.6491795
180	GO:0003968	molecular_function	RNA-directed 5-3 RNA polymerase activity	108	117	42	117	603.18295
181	GO:0007249	biological_process	I-kappaB kinase/NF-kappaB signaling	107	120	89	120	618.6491795
182	GO:0006559	biological_process	L-phenylalanine catabolic process	107	120	65	120	618.6491795
183	GO:0005762	cellular_component	mitochondrial large ribosomal subunit	107	112	69	112	577.4059009
184	GO:0070402	molecular_function	NADPH binding	107	114	68	114	587.7167205
185	GO:0010972	biological_process	negative regulation of G2/M transition of mitotic cell cycle	107	110	60	110	567.0950812
186	GO:0007608	biological_process	sensory perception of smell	107	119	82	119	613.4937697
187	GO:0009099	biological_process	valine biosynthetic process	107	126	70	126	649.5816385
188	GO:0005901	cellular_component	caveola	106	122	82	122	628.9599992
189	GO:0030838	biological_process	positive regulation of actin filament polymerization	106	122	79	122	628.9599992
190	GO:0010881	biological_process	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	106	118	87	118	608.3383599
191	GO:0008199	molecular_function	ferric iron binding	105	151	108	151	778.4668842
192	GO:0006537	biological_process	glutamate biosynthetic process	105	119	66	119	613.4937697
193	GO:0042734	cellular_component	presynaptic membrane	105	119	97	119	613.4937697
194	GO:0006493	biological_process	protein O-linked glycosylation	105	113	93	113	582.5613107
195	GO:0008219	biological_process	cell death	104	115	69	115	592.8721304
196	GO:0071470	biological_process	cellular response to osmotic stress	104	111	67	111	572.2504911
197	GO:0008144	molecular_function	drug binding	104	121	91	121	623.8045893
198	GO:1901223	biological_process	negative regulation of NIK/NF-kappaB signaling	104	116	93	116	598.0275402
199	GO:0009846	biological_process	pollen germination	104	127	84	127	654.7370483
200	GO:0022624	cellular_component	proteasome accessory complex	104	120	81	120	618.6491795
201	GO:0040014	biological_process	regulation of multicellular organism growth	104	108	72	108	556.7842616
202	GO:0005826	cellular_component	actomyosin contractile ring	103	116	80	116	598.0275402
203	GO:0034663	cellular_component	endoplasmic reticulum chaperone complex	103	133	74	133	685.6695073
204	GO:0004591	molecular_function	oxoglutarate dehydrogenase (succinyl-transferring) activity	103	109	59	109	561.9396714
205	GO:0050714	biological_process	positive regulation of protein secretion	103	117	91	117	603.18295
206	GO:0004176	molecular_function	ATP-dependent peptidase activity	102	120	72	120	618.6491795
207	GO:0042733	biological_process	embryonic digit morphogenesis	102	119	84	119	613.4937697
208	GO:0035338	biological_process	long-chain fatty-acyl-CoA biosynthetic process	102	116	76	116	598.0275402
209	GO:0050852	biological_process	T cell receptor signaling pathway	102	113	82	113	582.5613107
210	GO:0103025	molecular_function	alpha-amylase activity (releasing maltohexaose)	101	156	115	156	804.2439334
211	GO:0004383	molecular_function	guanylate cyclase activity	101	110	69	110	567.0950812
212	GO:0007612	biological_process	learning	101	109	72	109	561.9396714
213	GO:0035196	biological_process	production of miRNAs involved in gene silencing by miRNA	101	120	90	120	618.6491795
214	GO:0010033	biological_process	response to organic substance	101	114	78	114	587.7167205
215	GO:0009742	biological_process	brassinosteroid mediated signaling pathway	100	119	68	119	613.4937697
216	GO:0004535	molecular_function	poly(A)-specific ribonuclease activity	100	112	81	112	577.4059009
217	GO:0070213	biological_process	protein auto-ADP-ribosylation	100	107	78	107	551.6288517
218	GO:0048675	biological_process	axon extension	99	101	58	101	520.6963928
219	GO:0006535	biological_process	cysteine biosynthetic process from serine	99	118	70	118	608.3383599
220	GO:0060090	molecular_function	molecular adaptor activity	99	99	70	99	510.3855731
221	GO:0032715	biological_process	negative regulation of interleukin-6 production	99	110	89	110	567.0950812
222	GO:0000176	cellular_component	nuclear exosome (RNase complex)	99	102	66	102	525.8518026
223	GO:0019252	biological_process	starch biosynthetic process	99	127	88	127	654.7370483
224	GO:0039694	biological_process	viral RNA genome replication	99	108	46	108	556.7842616
225	GO:0071286	biological_process	cellular response to magnesium ion	98	114	90	114	587.7167205
226	GO:0051928	biological_process	positive regulation of calcium ion transport	98	105	78	105	541.3180321
227	GO:0032467	biological_process	positive regulation of cytokinesis	98	109	64	109	561.9396714
228	GO:0030132	cellular_component	clathrin coat of coated pit	97	118	76	118	608.3383599
229	GO:0050804	biological_process	modulation of chemical synaptic transmission	97	113	89	113	582.5613107
230	GO:0086004	biological_process	regulation of cardiac muscle cell contraction	97	106	80	106	546.4734419
231	GO:0007596	biological_process	blood coagulation	96	110	72	110	567.0950812
232	GO:0048306	molecular_function	calcium-dependent protein binding	96	103	68	103	531.0072124
233	GO:0032688	biological_process	negative regulation of interferon-beta production	96	109	86	109	561.9396714
234	GO:0014067	biological_process	negative regulation of phosphatidylinositol 3-kinase signaling	96	105	84	105	541.3180321
235	GO:0006839	biological_process	mitochondrial transport	95	106	69	106	546.4734419
236	GO:0006740	biological_process	NADPH regeneration	95	166	83	166	855.7980317
237	GO:0086015	biological_process	SA node cell action potential	95	105	87	105	541.3180321
238	GO:0008408	molecular_function	3-5 exonuclease activity	94	96	59	96	494.9193436
239	GO:0051290	biological_process	protein heterotetramerization	94	113	76	113	582.5613107
240	GO:0030430	cellular_component	host cell cytoplasm	93	99	43	99	510.3855731
241	GO:0016540	biological_process	protein autoprocessing	93	108	80	108	556.7842616
242	GO:0010882	biological_process	regulation of cardiac muscle contraction by calcium ion signaling	93	104	81	104	536.1626222
243	GO:0033268	cellular_component	node of Ranvier	92	108	92	108	556.7842616
244	GO:0090406	cellular_component	pollen tube	92	117	89	117	603.18295
245	GO:0033017	cellular_component	sarcoplasmic reticulum membrane	92	101	75	101	520.6963928
246	GO:0009062	biological_process	fatty acid catabolic process	91	97	58	97	500.0747534
247	GO:0004451	molecular_function	isocitrate lyase activity	91	123	48	123	634.115409
248	GO:0007080	biological_process	mitotic metaphase plate congression	91	95	60	95	489.7639338
249	GO:2000582	biological_process	positive regulation of ATP-dependent microtubule motor activity, plus-end-directed	91	126	34	126	649.5816385
250	GO:0006885	biological_process	regulation of pH	91	111	73	111	572.2504911
251	GO:0004315	molecular_function	3-oxoacyl-[acyl-carrier-protein] synthase activity	89	101	68	101	520.6963928
252	GO:0008324	molecular_function	cation transmembrane transporter activity	89	108	91	108	556.7842616
253	GO:0071439	cellular_component	clathrin complex	89	108	73	108	556.7842616
254	GO:0030705	biological_process	cytoskeleton-dependent intracellular transport	89	96	62	96	494.9193436
255	GO:0097054	biological_process	L-glutamate biosynthetic process	89	104	63	104	536.1626222
256	GO:0009789	biological_process	positive regulation of abscisic acid-activated signaling pathway	89	96	72	96	494.9193436
257	GO:0042651	cellular_component	thylakoid membrane	89	105	64	105	541.3180321
258	GO:0004088	molecular_function	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	88	139	93	139	716.6019663
259	GO:0010286	biological_process	heat acclimation	88	90	52	90	463.9868846
260	GO:0010960	biological_process	magnesium ion homeostasis	88	105	87	105	541.3180321
261	GO:0006610	biological_process	ribosomal protein import into nucleus	88	100	74	100	515.5409829
262	GO:0004692	molecular_function	cGMP-dependent protein kinase activity	87	100	70	100	515.5409829
263	GO:0004124	molecular_function	cysteine synthase activity	87	106	62	106	546.4734419
264	GO:0006123	biological_process	mitochondrial electron transport, cytochrome c to oxygen	87	101	58	101	520.6963928
265	GO:0016706	molecular_function	2-oxoglutarate-dependent dioxygenase activity	86	92	63	92	474.2977043
266	GO:0030130	cellular_component	clathrin coat of trans-Golgi network vesicle	86	101	61	101	520.6963928
267	GO:0004471	molecular_function	malate dehydrogenase (decarboxylating) (NAD+) activity	85	122	84	122	628.9599992
268	GO:0010765	biological_process	positive regulation of sodium ion transport	85	102	83	102	525.8518026
269	GO:0004658	molecular_function	propionyl-CoA carboxylase activity	85	93	56	93	479.4531141
270	GO:0009501	cellular_component	amyloplast	84	113	83	113	582.5613107
271	GO:0031076	biological_process	embryonic camera-type eye development	84	92	57	92	474.2977043
272	GO:0004338	molecular_function	glucan exo-1,3-beta-glucosidase activity	84	118	89	118	608.3383599
273	GO:0048147	biological_process	negative regulation of fibroblast proliferation	84	94	75	94	484.608524
274	GO:0035327	cellular_component	transcriptionally active chromatin	84	90	63	90	463.9868846
275	GO:0047372	molecular_function	acylglycerol lipase activity	83	89	64	89	458.8314748
276	GO:0046581	cellular_component	intercellular canaliculus	83	88	60	88	453.676065
277	GO:0006119	biological_process	oxidative phosphorylation	83	87	21	87	448.5206551
278	GO:0030295	molecular_function	protein kinase activator activity	83	89	51	89	458.8314748
279	GO:0070198	biological_process	protein localization to chromosome, telomeric region	83	91	65	91	469.1422945
280	GO:0048489	biological_process	synaptic vesicle transport	83	88	49	88	453.676065
281	GO:0030437	biological_process	ascospore formation	82	85	54	85	438.2098355
282	GO:0060346	biological_process	bone trabecula formation	82	103	62	103	531.0072124
283	GO:0071276	biological_process	cellular response to cadmium ion	82	90	54	90	463.9868846
284	GO:0016036	biological_process	cellular response to phosphate starvation	82	87	58	87	448.5206551
285	GO:0009089	biological_process	lysine biosynthetic process via diaminopimelate	82	98	76	98	505.2301633
286	GO:0016627	molecular_function	oxidoreductase activity, acting on the CH-CH group of donors	82	116	81	116	598.0275402
287	GO:0031929	biological_process	TOR signaling	82	86	56	86	443.3652453
288	GO:0031597	cellular_component	cytosolic proteasome complex	81	91	54	91	469.1422945
289	GO:0080167	biological_process	response to karrikin	81	83	31	83	427.8990158
290	GO:0031931	cellular_component	TORC1 complex	81	83	59	83	427.8990158
291	GO:0007628	biological_process	adult walking behavior	80	83	53	83	427.8990158
292	GO:0008543	biological_process	fibroblast growth factor receptor signaling pathway	80	85	63	85	438.2098355
293	GO:0006021	biological_process	inositol biosynthetic process	80	85	41	85	438.2098355
294	GO:0005537	molecular_function	mannose binding	80	87	61	87	448.5206551
295	GO:0035542	biological_process	regulation of SNARE complex assembly	80	84	62	84	433.0544257
296	GO:0048545	biological_process	response to steroid hormone	80	130	92	130	670.2032778
297	GO:0009706	cellular_component	chloroplast inner membrane	79	103	67	103	531.0072124
298	GO:0048589	biological_process	developmental growth	79	83	54	83	427.8990158
299	GO:0042276	biological_process	error-prone translesion synthesis	79	82	58	82	422.743606
300	GO:0060122	biological_process	inner ear receptor cell stereocilium organization	79	87	68	87	448.5206551
301	GO:0004687	molecular_function	myosin light chain kinase activity	79	87	64	87	448.5206551
302	GO:2000651	biological_process	positive regulation of sodium ion transmembrane transporter activity	79	95	80	95	489.7639338
303	GO:0015995	biological_process	chlorophyll biosynthetic process	78	85	43	85	438.2098355
304	GO:0032502	biological_process	developmental process	78	91	60	91	469.1422945
305	GO:0016281	cellular_component	eukaryotic translation initiation factor 4F complex	78	95	66	95	489.7639338
306	GO:1902260	biological_process	negative regulation of delayed rectifier potassium channel activity	78	94	78	94	484.608524
307	GO:0043266	biological_process	regulation of potassium ion transport	78	94	78	94	484.608524
308	GO:0045271	cellular_component	respiratory chain complex I	78	79	42	79	407.2773765
309	GO:0044208	biological_process	de novo AMP biosynthetic process	77	86	49	86	443.3652453
310	GO:0003796	molecular_function	lysozyme activity	77	90	41	90	463.9868846
311	GO:0051880	molecular_function	G-quadruplex DNA binding	76	80	49	80	412.4327863
312	GO:0071709	biological_process	membrane assembly	76	92	78	92	474.2977043
313	GO:0051895	biological_process	negative regulation of focal adhesion assembly	76	85	54	85	438.2098355
314	GO:0045838	biological_process	positive regulation of membrane potential	76	92	77	92	474.2977043
315	GO:0010975	biological_process	regulation of neuron projection development	76	79	60	79	407.2773765
316	GO:0071361	biological_process	cellular response to ethanol	75	90	69	90	463.9868846
317	GO:0007205	biological_process	protein kinase C-activating G protein-coupled receptor signaling pathway	75	80	47	80	412.4327863
318	GO:0005688	cellular_component	U6 snRNP	75	85	41	85	438.2098355
319	GO:0004128	molecular_function	cytochrome-b5 reductase activity, acting on NAD(P)H	74	81	50	81	417.5881962
320	GO:0004148	molecular_function	dihydrolipoyl dehydrogenase activity	74	76	35	76	391.811147
321	GO:1990380	molecular_function	Lys48-specific deubiquitinase activity	74	77	57	77	396.9665569
322	GO:2000059	biological_process	negative regulation of ubiquitin-dependent protein catabolic process	74	80	50	80	412.4327863
323	GO:0006296	biological_process	nucleotide-excision repair, DNA incision, 5-to lesion	74	77	49	77	396.9665569
1985	GO:0030288	cellular_component	outer membrane-bounded periplasmic space	74	80	46	80	412.4327863
1986	GO:0009253	biological_process	peptidoglycan catabolic process	74	86	41	86	443.3652453
1987	GO:0035970	biological_process	peptidyl-threonine dephosphorylation	74	81	56	81	417.5881962
1988	GO:0010650	biological_process	positive regulation of cell communication by electrical coupling	74	90	76	90	463.9868846
1989	GO:0034112	biological_process	positive regulation of homotypic cell-cell adhesion	74	90	76	90	463.9868846
1990	GO:1900827	biological_process	positive regulation of membrane depolarization during cardiac muscle cell action potential	74	90	76	90	463.9868846
1991	GO:0045747	biological_process	positive regulation of Notch signaling pathway	74	78	52	78	402.1219667
1992	GO:0045070	biological_process	positive regulation of viral genome replication	74	88	65	88	453.676065
1993	GO:0016441	biological_process	posttranscriptional gene silencing	74	81	62	81	417.5881962
1994	GO:0010608	biological_process	posttranscriptional regulation of gene expression	74	85	60	85	438.2098355
1995	GO:0000338	biological_process	protein deneddylation	74	81	55	81	417.5881962
